"SITE_ID","SITE_NAME","DATA_SOURCE","DATA_USE","LOCATION_LAT","LOCATION_LONG","ELEV_M","IGBP","PET_sum","PPT_sum","TC_aridity"
"CA-NS6","UCI-1989 burn site","FLUXNET2015","CC-BY-4.0",55.9167,-98.9644,244,"OSH",504.4,519.9,1.03072957969865
"CA-NS7","UCI-1998 burn site","FLUXNET2015","CC-BY-4.0",56.6358,-99.9483,297,"OSH",491.2,508.2,1.03460912052117
"CA-Oas","Saskatchewan - Western Boreal, Mature Aspen","FLUXNET2015","CC-BY-4.0",53.6289,-106.1978,530,"DBF",605.6,477.2,0.787978863936592
"CA-Obs","Saskatchewan - Western Boreal, Mature Black Spruce","FLUXNET2015","CC-BY-4.0",53.9872,-105.1178,628.94,"ENF",561.2,483.6,0.861724875267284
"CA-Qfo","Quebec - Eastern Boreal, Mature Black Spruce","FLUXNET2015","CC-BY-4.0",49.6925,-74.3421,382,"ENF",471.2,968.5,2.05539049235993
"CA-SF1","Saskatchewan - Western Boreal, forest burned in 1977","FLUXNET2015","CC-BY-4.0",54.485,-105.8176,536,"ENF",566.3,501.4,0.88539643298605
"CA-SF2","Saskatchewan - Western Boreal, forest burned in 1989","FLUXNET2015","CC-BY-4.0",54.2539,-105.8775,520,"ENF",580.3,495.4,0.853696363949681
"CA-SF3","Saskatchewan - Western Boreal, forest burned in 1998","FLUXNET2015","CC-BY-4.0",54.0916,-106.0053,540,"OSH",586.4,492.1,0.83918826739427
"CA-TP1","Ontario - Turkey Point 2002 Plantation White Pine","FLUXNET2015","CC-BY-4.0",42.6609,-80.5595,265,"ENF",746.5,994.2,1.33181513730743
"CA-TP2","Ontario - Turkey Point 1989 Plantation White Pine","FLUXNET2015","CC-BY-4.0",42.7744,-80.4588,212,"ENF",736.3,975.5,1.32486758114899
"CA-TP3","Ontario - Turkey Point 1974 Plantation White Pine","FLUXNET2015","CC-BY-4.0",42.7068,-80.3483,184,"ENF",748.2,974.5,1.30245923549853
"CA-TP4","Ontario - Turkey Point 1939 Plantation White Pine","FLUXNET2015","CC-BY-4.0",42.7102,-80.3574,184,"ENF",737,980.1,1.32985074626866
"CA-TPD","Ontario - Turkey Point Mature Deciduous","FLUXNET2015","CC-BY-4.0",42.6353,-80.5577,260,"DBF",746.5,994.2,1.33181513730743
"CG-Tch","Tchizalamou","FLUXNET2015","CC-BY-4.0",-4.2892,11.6564,82,"SAV",1082.6,1380.5,1.27517088490671
"CH-Cha","Chamau","FLUXNET2015","CC-BY-4.0",47.2102,8.4104,393,"GRA",678.6,1208.7,1.78116710875332
"CH-Dav","Davos","FLUXNET2015","CC-BY-4.0",46.8153,9.8559,1639,"ENF",504.1,1093.9,2.17000595120016
"CH-Fru","Früebüel","FLUXNET2015","CC-BY-4.0",47.1158,8.5378,982,"GRA",665.2,1410.8,2.12086590499098
"CH-Lae","Laegern","FLUXNET2015","CC-BY-4.0",47.4783,8.3644,689,"MF",681.6,1175.2,1.72417840375587
"CH-Oe1","Oensingen grassland","FLUXNET2015","CC-BY-4.0",47.2858,7.7319,450,"GRA",680.9,1151.7,1.69143780290792
"CH-Oe2","Oensingen crop","FLUXNET2015","CC-BY-4.0",47.2864,7.7337,452,"CRO",680.9,1151.7,1.69143780290792
"CN-Cha","Changbaishan","FLUXNET2015","CC-BY-4.0",42.4025,128.0958,NA,"MF",614.7,694.4,1.12965674312673
"CN-Cng","Changling","FLUXNET2015","CC-BY-4.0",44.5934,123.5092,NA,"GRA",919.1,407.5,0.443368512675443
"CN-Dan","Dangxiong","FLUXNET2015","CC-BY-4.0",30.4978,91.0664,NA,"GRA",762,424.2,0.556692913385827
"CN-Din","Dinghushan","FLUXNET2015","CC-BY-4.0",23.1733,112.5361,NA,"EBF",1110.5,1818.4,1.63746060333183
"CN-Du2","Duolun_grassland (D01)","FLUXNET2015","CC-BY-4.0",42.0467,116.2836,NA,"GRA",838.1,387.9,0.462832597542059
"CN-Du3","Duolun Degraded Meadow","FLUXNET2015","CC-BY-4.0",42.0551,116.2809,NA,"GRA",838.1,387.9,0.462832597542059
"CN-Ha2","Haibei Shrubland","FLUXNET2015","CC-BY-4.0",37.6086,101.3269,NA,"WET",508.5,485.9,0.955555555555555
"CN-HaM","Haibei Alpine Tibet site","FLUXNET2015","CC-BY-4.0",37.37,101.18,NA,"GRA",317.8,526.4,1.65638766519824
"CN-Qia","Qianyanzhou","FLUXNET2015","CC-BY-4.0",26.7414,115.0581,NA,"ENF",1073.8,1505.3,1.40184391879307
"CN-Sw2","Siziwang Grazed (SZWG)","FLUXNET2015","CC-BY-4.0",41.7902,111.8971,NA,"GRA",967.5,217.1,0.224392764857881
"CZ-BK1","Bily Kriz forest","FLUXNET2015","CC-BY-4.0",49.5021,18.5369,875,"ENF",563,1012.8,1.79893428063943
"CZ-BK2","Bily Kriz grassland","FLUXNET2015","CC-BY-4.0",49.4944,18.5429,855,"GRA",569.1,1004.2,1.76454050254788
"CZ-wet","Trebon (CZECHWET)","FLUXNET2015","CC-BY-4.0",49.0247,14.7704,426,"WET",653.5,653.9,1.00061208875287
"DE-Akm","Anklam","FLUXNET2015","CC-BY-4.0",53.8662,13.6834,-1,"WET",625.1,587.8,0.940329547272436
"DE-Geb","Gebesee","FLUXNET2015","CC-BY-4.0",51.0997,10.9146,161.5,"CRO",658.8,528.7,0.802519732847602
"DE-Gri","Grillenburg","FLUXNET2015","CC-BY-4.0",50.95,13.5126,385,"GRA",660.6,821.1,1.24296094459582
"DE-Hai","Hainich","FLUXNET2015","CC-BY-4.0",51.0792,10.4522,430,"DBF",662.1,912.8,1.37864370940945
"DE-Kli","Klingenberg","FLUXNET2015","CC-BY-4.0",50.8931,13.5224,478,"CRO",646.4,859.2,1.32920792079208
"DE-Lkb","Lackenberg","FLUXNET2015","CC-BY-4.0",49.0996,13.3047,1308,"ENF",530.6,1376.9,2.59498680738786
"DE-Lnf","Leinefelde","FLUXNET2015","CC-BY-4.0",51.3282,10.3678,451,"DBF",651.8,894.8,1.37281374654802
"DE-Obe","Oberbärenburg","FLUXNET2015","CC-BY-4.0",50.7867,13.7213,734,"ENF",557.8,839.5,1.50501972032987
"DE-RuR","Rollesbroich","FLUXNET2015","CC-BY-4.0",50.6219,6.3041,514.7,"GRA",619.8,1108.4,1.78831881252017
"DE-RuS","Selhausen Juelich","FLUXNET2015","CC-BY-4.0",50.8659,6.4471,102.755,"CRO",700.7,743.2,1.0606536320822
"DE-Seh","Selhausen","FLUXNET2015","CC-BY-4.0",50.8706,6.4497,103,"CRO",700.7,743.2,1.0606536320822
"DE-SfN","Schechenfilz Nord","FLUXNET2015","CC-BY-4.0",47.8064,11.3275,590,"WET",675.3,1104.9,1.63616170590849
"DE-Spw","Spreewald","FLUXNET2015","CC-BY-4.0",51.8922,14.0337,61,"WET",696.1,571.8,0.821433702054303
"DE-Tha","Tharandt","FLUXNET2015","CC-BY-4.0",50.9626,13.5651,385,"ENF",677.5,764.9,1.1290036900369
"DE-Zrk","Zarnekow","FLUXNET2015","CC-BY-4.0",53.8759,12.889,0,"WET",614.9,620.9,1.00975768417629
"DK-Eng","Enghave","FLUXNET2015","CC-BY-4.0",55.6905,12.1918,10,"GRA",627.9,635.1,1.01146679407549
"DK-Fou","Foulum","FLUXNET2015","CC-BY-4.0",56.4842,9.5872,51,"CRO",560.8,745.5,1.32935092724679
"DK-Sor","Soroe","FLUXNET2015","CC-BY-4.0",55.4859,11.6446,40,"DBF",639.4,641.7,1.00359712230216
"ES-Amo","Amoladeras","FLUXNET2015","CC-BY-4.0",36.8336,-2.2523,58,"OSH",1288,215.2,0.167080745341615
"ES-LJu","Llano de los Juanes","FLUXNET2015","CC-BY-4.0",36.9266,-2.7521,1600,"OSH",1190.6,520.9,0.437510498908113
"ES-LgS","Laguna Seca","FLUXNET2015","CC-BY-4.0",37.0979,-2.9658,2267,"OSH",947.8,753.7,0.795209959907153
"ES-Ln2","Lanjaron-Salvage logging","FLUXNET2015","CC-BY-4.0",36.9695,-3.4758,2249,"OSH",1024,787.8,0.7693359375
"FI-Hyy","Hyytiala","FLUXNET2015","CC-BY-4.0",61.8474,24.2948,181,"ENF",447.4,676.6,1.51229324988824
"FI-Jok","Jokioinen","FLUXNET2015","CC-BY-4.0",60.8986,23.5134,109,"CRO",482.5,625.1,1.29554404145078
"FI-Let","Lettosuo","FLUXNET2015","CC-BY-4.0",60.6418,23.9595,111,"ENF",478.1,679.1,1.4204141393014
"FI-Lom","Lompolojankka","FLUXNET2015","CC-BY-4.0",67.9972,24.2092,274,"WET",306.2,551,1.79947746570869
"FI-Sod","Sodankyla","FLUXNET2015","CC-BY-4.0",67.3624,26.6386,180,"ENF",351.7,534.1,1.51862382712539
"FR-Fon","Fontainebleau-Barbeau","FLUXNET2015","CC-BY-4.0",48.4764,2.7801,103,"DBF",779.7,627,0.804155444401693
"FR-Gri","Grignon","FLUXNET2015","CC-BY-4.0",48.8442,1.9519,125,"CRO",764.6,628.6,0.822129217891708
"FR-LBr","Le Bray","FLUXNET2015","CC-BY-4.0",44.7171,-0.7693,61,"ENF",870.9,881.2,1.01182684579171
"FR-Pue","Puechabon","FLUXNET2015","CC-BY-4.0",43.7413,3.5957,270,"EBF",1156.8,639.8,0.553077455048409
"GF-Guy","Guyaflux (French Guiana)","FLUXNET2015","CC-BY-4.0",5.2788,-52.9249,48,"EBF",1388.5,2668.1,1.92157003961109
"GH-Ank","Ankasa","FLUXNET2015","CC-BY-4.0",5.2685,-2.6942,124,"EBF",1358.4,1852,1.36336866902238
"GL-NuF","Nuuk Fen","FLUXNET2015","CC-BY-4.0",64.1308,-51.3861,50,"WET",229.3,817.3,3.56432621020497
"GL-ZaF","Zackenberg Fen","FLUXNET2015","CC-BY-4.0",74.4814,-20.5545,38,"WET",126.4,250.6,1.98259493670886
"GL-ZaH","Zackenberg Heath","FLUXNET2015","CC-BY-4.0",74.4733,-20.5503,38,"GRA",126.4,250.6,1.98259493670886
"IT-BCi","Borgo Cioffi","FLUXNET2015","CC-BY-4.0",40.5237,14.9574,20,"CRO",1046.2,1047.4,1.00114700822023
"IT-CA1","Castel d'Asso1","FLUXNET2015","CC-BY-4.0",42.3804,12.0266,200,"DBF",1022.7,328,0.320719663635475
"IT-CA2","Castel d'Asso2","FLUXNET2015","CC-BY-4.0",42.3772,12.026,200,"CRO",1022.7,328,0.320719663635475
"IT-CA3","Castel d'Asso3","FLUXNET2015","CC-BY-4.0",42.38,12.0222,197,"DBF",1022.7,328,0.320719663635475
"IT-Col","Collelongo","FLUXNET2015","CC-BY-4.0",41.8494,13.5881,1560,"DBF",792.1,785.2,0.99128897866431
"IT-Cp2","Castelporziano2","FLUXNET2015","CC-BY-4.0",41.7043,12.3573,19,"EBF",1070.6,743.6,0.694563796002242
"IT-Cpz","Castelporziano","FLUXNET2015","CC-BY-4.0",41.7052,12.3761,68,"EBF",1070.9,755.1,0.705107853207582
"IT-Isp","Ispra ABC-IS","FLUXNET2015","CC-BY-4.0",45.8126,8.6336,210,"DBF",776.8,1135.8,1.46215242018538
"IT-La2","Lavarone2","FLUXNET2015","CC-BY-4.0",45.9542,11.2853,1350,"ENF",666.9,576.5,0.864447443394812
"IT-Lav","Lavarone","FLUXNET2015","CC-BY-4.0",45.9562,11.2813,1353,"ENF",666.9,576.5,0.864447443394812
"IT-MBo","Monte Bondone","FLUXNET2015","CC-BY-4.0",46.0147,11.0458,1550,"GRA",638.4,406.9,0.637374686716792
"IT-Noe","Arca di Noe - Le Prigionette","FLUXNET2015","CC-BY-4.0",40.6062,8.1517,25,"CSH",1134.3,743.8,0.655734814422992
"IT-PT1","Parco Ticino forest","FLUXNET2015","CC-BY-4.0",45.2009,9.061,60,"DBF",782.8,718.3,0.917603474706183
"IT-Ren","Renon","FLUXNET2015","CC-BY-4.0",46.5869,11.4337,1730,"ENF",518.1,686,1.32406871260374
"IT-Ro1","Roccarespampani 1","FLUXNET2015","CC-BY-4.0",42.4081,11.93,235,"DBF",1020.5,374,0.366487016168545
"IT-Ro2","Roccarespampani 2","FLUXNET2015","CC-BY-4.0",42.3903,11.9209,160,"DBF",1020.5,374,0.366487016168545
"IT-SR2","San Rossore 2","FLUXNET2015","CC-BY-4.0",43.732,10.2909,4,"ENF",1052.3,870.8,0.827520669010739
"IT-SRo","San Rossore","FLUXNET2015","CC-BY-4.0",43.7279,10.2844,6,"ENF",1052.3,870.8,0.827520669010739
"IT-Tor","Torgnon","FLUXNET2015","CC-BY-4.0",45.8444,7.5781,2160,"GRA",436.6,1222.7,2.80050389372423
"JP-MBF","Moshiri Birch Forest Site","FLUXNET2015","CC-BY-4.0",44.3869,142.3186,NA,"DBF",530.3,1158.4,2.18442391099378
"JP-SMF","Seto Mixed Forest Site","FLUXNET2015","CC-BY-4.0",35.2617,137.0788,NA,"MF",1024.8,2035.5,1.98624121779859
"MY-PSO","Pasoh Forest Reserve (PSO)","FLUXNET2015","CC-BY-4.0",2.973,102.3062,NA,"EBF",1248.8,2032.7,1.62772261370916
"NL-Hor","Horstermeer","FLUXNET2015","CC-BY-4.0",52.2403,5.0713,2.2,"GRA",638.1,865.8,1.35684062059238
"NL-Loo","Loobos","FLUXNET2015","CC-BY-4.0",52.1666,5.7436,25,"ENF",642.2,862.3,1.34272812208035
"PA-SPn","Sardinilla Plantation","FLUXNET2015","CC-BY-4.0",9.3181,-79.6346,78,"DBF",1442.9,2710.8,1.87871647376811
"PA-SPs","Sardinilla-Pasture","FLUXNET2015","CC-BY-4.0",9.3138,-79.6314,68,"GRA",1442.9,2710.8,1.87871647376811
"RU-Che","Cherski","FLUXNET2015","CC-BY-4.0",68.613,161.3414,6,"WET",355.8,175.6,0.493535694210231
"RU-Cok","Chokurdakh","FLUXNET2015","CC-BY-4.0",70.8291,147.4943,48,"OSH",228.3,199.7,0.874726237406921
"RU-Fyo","Fyodorovskoye","FLUXNET2015","CC-BY-4.0",56.4615,32.9221,265,"ENF",517,709.1,1.3715667311412
"RU-Ha1","Hakasia steppe","FLUXNET2015","CC-BY-4.0",54.7252,90.0022,446,"GRA",545.5,473.8,0.868560953253895
"RU-Sam","Samoylov","FLUXNET2015","Tier 2",72.3738,126.4958,NA,"GRA",228.3,302.4,1.3245729303548
"RU-SkP","Yakutsk Spasskaya Pad larch","FLUXNET2015","Tier 2",62.255,129.168,246,"DNF",456.4,260.8,0.571428571428571
"RU-Tks","Tiksi","FLUXNET2015","Tier 2",71.5943,128.8878,7,"GRA",194.5,321.8,1.65449871465296
"RU-Vrk","Seida/Vorkuta","FLUXNET2015","Tier 2",67.0547,62.9405,100,"CSH",300.3,568.1,1.89177489177489
"SD-Dem","Demokeya","FLUXNET2015","CC-BY-4.0",13.2829,30.4783,500,"SAV",2237.5,303.4,0.135597765363129
"SE-St1","Stordalen grassland","FLUXNET2015","Tier 2",68.3541,19.0503,351,"WET",316.1,391.8,1.23948117684277
"SJ-Adv","Adventdalen","FLUXNET2015","CC-BY-4.0",78.186,15.923,17,"WET",157.3,302.3,1.92180546726001
"SJ-Blv","Bayelva, Spitsbergen","FLUXNET2015","CC-BY-4.0",78.9216,11.8311,25,"SNO",121.3,404.1,3.33140972794724
"SN-Dhr","Dahra","FLUXNET2015","CC-BY-4.0",15.4028,-15.4322,40,"SAV",2079.9,419,0.201451992884273
"US-AR1","ARM USDA UNL OSU Woodward Switchgrass 1","FLUXNET2015","CC-BY-4.0",36.4267,-99.42,611,"GRA",1497.9,586.7,0.391681687696108
"US-AR2","ARM USDA UNL OSU Woodward Switchgrass 2","FLUXNET2015","CC-BY-4.0",36.6358,-99.5975,646,"GRA",1500,599.3,0.399533333333333
"US-ARM","ARM Southern Great Plains site- Lamont","FLUXNET2015","CC-BY-4.0",36.6058,-97.4888,314,"CRO",1368.5,885.3,0.646912678114724
"US-ARb","ARM Southern Great Plains burn site- Lamont","FLUXNET2015","CC-BY-4.0",35.5497,-98.0402,424,"GRA",1431.5,827.2,0.577855396437304
"US-ARc","ARM Southern Great Plains control site- Lamont","FLUXNET2015","CC-BY-4.0",35.5465,-98.04,424,"GRA",1431.5,827.2,0.577855396437304
"US-Atq","Atqasuk","FLUXNET2015","CC-BY-4.0",70.4696,-157.4089,15,"WET",206.6,144.4,0.698935140367861
"US-Blo","Blodgett Forest","FLUXNET2015","CC-BY-4.0",38.8953,-120.6328,1315,"ENF",1237.1,1539.3,1.24428097971061
"US-CRT","Curtice Walter-Berger cropland","FLUXNET2015","CC-BY-4.0",41.6285,-83.3471,180,"CRO",866.1,872.4,1.00727398683755
"US-Cop","Corral Pocket","FLUXNET2015","CC-BY-4.0",38.09,-109.39,1520,"GRA",1198.2,335.5,0.280003338340845
"US-GBT","GLEES Brooklyn Tower","FLUXNET2015","CC-BY-4.0",41.3658,-106.2397,3191,"ENF",614,512,0.833876221498371
"US-GLE","GLEES","FLUXNET2015","CC-BY-4.0",41.3665,-106.2399,3197,"ENF",614,512,0.833876221498371
"US-Goo","Goodwin Creek","FLUXNET2015","CC-BY-4.0",34.2547,-89.8735,87,"GRA",1206.5,1405.3,1.1647741400746
"US-Ha1","Harvard Forest EMS Tower (HFR1)","FLUXNET2015","CC-BY-4.0",42.5378,-72.1715,340,"DBF",697.1,1119.1,1.60536508391909
"US-IB2","Fermi National Accelerator Laboratory- Batavia (Prairie site)","FLUXNET2015","CC-BY-4.0",41.8406,-88.241,226.5,"GRA",869.5,934.9,1.07521564117309
"US-Ivo","Ivotuk","FLUXNET2015","CC-BY-4.0",68.4865,-155.7503,568,"WET",272.4,259.5,0.952643171806168
"US-KS1","Kennedy Space Center (slash pine)","FLUXNET2015","CC-BY-4.0",28.4583,-80.6709,1,"ENF",1438,1233.6,0.857858136300417
"US-KS2","Kennedy Space Center (scrub oak)","FLUXNET2015","CC-BY-4.0",28.6086,-80.6715,3,"CSH",1417.2,1281.2,0.904036127575501
"US-LWW","Little Washita Watershed","FLUXNET2015","CC-BY-4.0",34.9604,-97.9789,365,"GRA",1460.3,836,0.572485105800178
"US-Lin","Lindcove Orange Orchard","FLUXNET2015","CC-BY-4.0",36.3566,-119.0922,131,"CRO",1607.5,329.6,0.205038880248834
"US-Los","Lost Creek","FLUXNET2015","CC-BY-4.0",46.0827,-89.9792,480,"WET",631.6,829.3,1.31301456618113
"US-MMS","Morgan Monroe State Forest","FLUXNET2015","CC-BY-4.0",39.3232,-86.4131,275,"DBF",921.6,1133.4,1.22981770833333
"US-Me1","Metolius - Eyerly burn","FLUXNET2015","CC-BY-4.0",44.5794,-121.5,896,"ENF",940.9,733.1,0.779147624614731
"US-Me2","Metolius mature ponderosa pine","FLUXNET2015","CC-BY-4.0",44.4523,-121.5574,1253,"ENF",918.6,808.1,0.87970825168735
"US-Me3","Metolius-second young aged pine","FLUXNET2015","CC-BY-4.0",44.3154,-121.6078,1005,"ENF",965.7,527.5,0.546235891063477
"US-Me4","Metolius-old aged ponderosa pine","FLUXNET2015","CC-BY-4.0",44.4992,-121.6224,922,"ENF",896.4,1008.5,1.12505577867024
"US-Me5","Metolius-first young aged pine","FLUXNET2015","CC-BY-4.0",44.4372,-121.5668,1188,"ENF",918.6,808.1,0.87970825168735
"US-Me6","Metolius Young Pine Burn","FLUXNET2015","CC-BY-4.0",44.3233,-121.6078,998,"ENF",965.7,527.5,0.546235891063477
"US-Myb","Mayberry Wetland","FLUXNET2015","CC-BY-4.0",38.0499,-121.765,-4,"WET",1327.9,362.9,0.273288651253859
"US-NR1","Niwot Ridge Forest (LTER NWT1)","FLUXNET2015","CC-BY-4.0",40.0329,-105.5464,3050,"ENF",713.5,574.1,0.804625087596356
"US-Ne1","Mead - irrigated continuous maize site","FLUXNET2015","CC-BY-4.0",41.1651,-96.4766,361,"CRO",1008.9,814.9,0.807711368817524
"US-Ne2","Mead - irrigated maize-soybean rotation site","FLUXNET2015","CC-BY-4.0",41.1649,-96.4701,362,"CRO",1008.9,814.9,0.807711368817524
"US-Ne3","Mead - rainfed maize-soybean rotation site","FLUXNET2015","CC-BY-4.0",41.1797,-96.4397,363,"CRO",1003.7,814.1,0.811098933944406
"US-ORv","Olentangy River Wetland Research Park","FLUXNET2015","CC-BY-4.0",40.0201,-83.0183,221,"WET",907.5,968.5,1.06721763085399
"US-Oho","Oak Openings","FLUXNET2015","CC-BY-4.0",41.5545,-83.8438,230,"DBF",851.4,872.5,1.02478271082922
"US-PFa","Park Falls/WLEF","FLUXNET2015","CC-BY-4.0",45.9459,-90.2723,470,"MF",638.6,822.6,1.28813028499843
"US-Prr","Poker Flat Research Range Black Spruce Forest","FLUXNET2015","CC-BY-4.0",65.1237,-147.4876,210,"ENF",411,314.3,0.764720194647202
"US-SRC","Santa Rita Creosote","FLUXNET2015","CC-BY-4.0",31.9083,-110.8395,950,"OSH",1795.3,381.5,0.212499303737537
"US-SRG","Santa Rita Grassland","FLUXNET2015","CC-BY-4.0",31.7894,-110.8277,1291,"GRA",1658.9,547.5,0.330037976972693
"US-SRM","Santa Rita Mesquite","FLUXNET2015","CC-BY-4.0",31.8214,-110.8661,1120,"WSA",1754.2,457.9,0.261030669250941
"US-Sta","Saratoga","FLUXNET2015","CC-BY-4.0",41.3966,-106.8024,2069,"OSH",952.5,295,0.309711286089239
"US-Syv","Sylvania Wilderness Area","FLUXNET2015","CC-BY-4.0",46.242,-89.3477,540,"MF",636.7,823.6,1.29354484058426
"US-Ton","Tonzi Ranch","FLUXNET2015","CC-BY-4.0",38.4309,-120.966,177,"WSA",1406.4,628.2,0.446672354948805
"US-Tw1","Twitchell Wetland West Pond","FLUXNET2015","CC-BY-4.0",38.1074,-121.6469,-5,"WET",1312.7,377.1,0.287270511160204
"US-Tw2","Twitchell Corn","FLUXNET2015","CC-BY-4.0",38.0969,-121.6365,-5,"CRO",1312.7,377.1,0.287270511160204
"US-Tw3","Twitchell Alfalfa","FLUXNET2015","CC-BY-4.0",38.1152,-121.6469,-4,"CRO",1312.7,377.1,0.287270511160204
"US-Tw4","Twitchell East End Wetland","FLUXNET2015","CC-BY-4.0",38.1027,-121.6413,-5,"WET",1312.7,377.1,0.287270511160204
